Premise,Entailment,Neutral (non-sequitor),Contradiction,Creative contradiction
This dirty money we're using to finance the campaign is a ticking time bomb!,This dirty money we're using to finance the campaign is a risk!,The party continued until a ticking time bomb exploded.,This dirty money we're using to finance the campaign is not a problem at all.,
"New hair, new life.",New hair will feel like a fresh start.,New life springs forth in the desert.,New hair does not really make any difference.,
"Your plan is too risky, it's a suicide.","Your plan is too risky, it's dangerous.",On every occasion there was a suicide attempt.,"Your plan is very risky, but it's not that dangerous.",
"I just can't seem to forget him, he contaminates my head.","I just can't seem to forget him, I keep on thinking about him.",Mercury contaminates mostly fish and fishery products.,"I just seem to forget him, I don't think of him at all.",
The bad sides are so overpowering that she can't see anything else.,The bad sides are so overpowering that she finds it difficult to concentrate on anything else.,She can't see the red signal.,The bad sides are so overpowering that she refuses to see them and think about them at all.,
You have ravished me away by a power I am unable to resist.,You have ravished me away by a power I find difficult to resist.,I am unable to be at two places at the same time.,You have ravished me away but I can easily resist your power. ,
"I'm half dead, for Christ's sake!","I'm very tired, for Christ's sake!",Zombies are half dead.,"I am wide awake, for Christ's sake!",
"When the last light set, it was like the whole world stopped.","When the last light set, it was beautiful.",The whole world stopped producing this car.,"When the last light set, it was dark and gloomy.",
This is one breathtaking panorama.,This is one beautiful panorama.,I received a punch in the stomach. The pain was breathtaking.,This is one awful panorama.,
Admit you're a Judas.,Admit that you're a traitor.,Judas Iscariot hanged himself.,"Admit you're a good, honourable person.",
Once I would open a bag I could not stop eating.,Once I would open the bad I would not want to stop eating.,A lack of control is felt as if one could not stop eating.,"Once I would open a bag, the smell alone would make me stop eating. ",
She's drinking like tomorrow doesn't exist.,She's drinking heavily.,Tomorrow doesn't exist yet.,She's drinking cautiously.,
"If you leave me, I'll erase you.","If you leave me, I'll forget about you.",Both the commands will erase the content of the file.,"If you leave me, I'll always remember you.",
"And his sensibility, oh, he must be related to those machines that register earthquakes.","And his sensibility, oh, he must be very sensitive.",The geologist was using those machines that register earthquakes.,"And his sensibility, oh, he must be made of stone, he is not sensitive at all.",
You are what you eat.,What you eat affects you.,These answers are what we wanted to hear.,"What you eat, does not make much difference anyway.",
He only sees himself.,He only cares about himself.,He only sees himself as a normal guy.,He cares about everyone.,
The sight of them kissing is so gross that it makes me want to puke.,The sight of them kissing is so gross that it makes me feel disgusted.,"If I'll feel sick, I won't puke.",The sight of them kissing is so wonderful that it makes me quite envious.,
"Since you stopped partying, you're a nullity.","Since you stopped partying, you're boring.",Judgments obtained by fraud on court will become a nullity.,"Since you stopped partying, you're much more interesting.",
TV is bombarding us with subliminal messages.,TV is providing us with subliminal messages.,Militaries were bombarding the town.,"TV is providing us with open, direct messages.",
The secretary was up to her eyeballs in paperwork.,The secretary had a lot of paperwork.,The victim was splattered with blood up to her eyeballs.,The secretary did not have much to do.,
"He looked at the glass, and lowered his lips to that oasis of moisture.","He looked at the glass, and lowered his lips to the water.",These steam seeps provide an oasis of moisture in the desert.,He looked at the glass and turned away without drinking the shit.,
It is idle to swallow the cow and choke on the tail.,It is idle to swallow big problems and choke on small ones.,An anaconda tried to swallow the cow.,It is fruitful to swallow the cow and choke on the tail.,
I'm not staying here one more minute!,I'm not staying here any longer!,I'm allowed one more minute after the bell.,I'm staying here forever.,
Junk food is the one thing they'll buy in spades.,Junk food is the one thing they'll buy in large quantities.,Farmers used long-handled spades for digging.,Junk food is the one thing they'll never buy.,
"I swear, my teacher is omniscient.","I swear, my teacher knows a lot.",The girl believed Santa Claus is omniscient.,"I swear, my teacher is oblivious.",
"Your beard is so hairy, you look like Chewbacca.",Your beard is very hairy.,Chewbacca had a big furry.,Your beard is patchy.,
Don't strain at gnats and swallow camels. There are worse problems than that around here.,Don't make a big deal about little things. There are worse problems than that around here.,The bow can be made to strain the string to its breaking point.,___s. There are worse problems than that around here.,
"Sad to say, but she was a relentless drinker.","Sad to say, but she was a constant drinker.",I came to watch the relentless forming and breaking-up of waves.,"Fortunately, she was a cautious drinker.",
"Dresden was kind of the moon, nothing but minerals.","Dresden was kind of the moon, it did not have many appeals.",Precious stones are nothing but minerals.,"Dresden was kind of the moon, very interesting and challenging.",
And with all this romantic atmosphere disaster's in the air.,And with all this romantic atmosphere something could go wrong.,There was a climatic disaster.,"And with all this romantic atmosphere, weddings are on the way.",
The perfect pound cake recipe is worth its weight in gold.,The perfect pound cake recipe is valuable.,A true diamond is worth its weight in gold.,The perfect pound cake recipe is not worth anything and can be found anywhere,
My professor is a volcano of ideas.,My professor is very creative.,Elgon is the remains of an ancient volcano.,My professor is dull and without initiative.,
Shuttling between conferences over the past years has been an interstellar enterprise.,Shuttling between conferences over the past years has been an overwhelming enterprise.,The target of early interstellar missions is to find nomadic planets.,Shuttling between conferences over the past years has been easy and uncomplicated.,
The mail was taking on Alpine proportions.,The mail was taking on large proportions.,Urals are the remains of mountains that must have been of Alpine proportions when new.,The mail was taking less space and less time.,
That runner is faster than light.,That runner is very fast.,It is possible for a particle to travel faster than light.,That runner is not very fast.,
They will die of envy.,They will be very envious.,People will die of cholera and other epidemics.,They will be totally indifferent.,
The gladiator beated all his opponents with his superhuman strength.,The gladiator beated all his opponents with his great strength.,Absolute symmetry tends to be superhuman.,The gladiator never beat his opponents due to his lack of strength.,
"Whenever I watch the movie, that scene kills me.","Whenever I watch the movie, that scene strikes me.",Drinking kills me slowly.,"Whenever I watch the movie, that scene bores me.",
I'm so thirsty that I would drink a river.,I'm so thirsty that I would drink a large amount of water.,People had to drink water from a river nearby.,I'm so thirsty that I would drink a small amount of water.,
Her anger radiated like a nuclear explosion.,Her anger radiated strongly.,Only one girl survived the nuclear explosion.,Her anger radiated weakly.,
This confection has been around a few centuries in my house.,This confection has been around for so long in my house.,The hillsides have been covered a few centuries ago.,This confection has been around for a short time.,
Anna cried blood tears before obtaining her bachelor's degree.,Anna worked really hard before obtaining her bachelor's degree.,Believers swear the statue was crying blood tears.,Anna worked really lazily before obtaining her bachelor's degree.,
Her skin was whiter than snow.,Her skin was very fair.,This milk is whiter than snow on the sidewalk.,Her skin was very dark.,
He was skinny enough to jump through a keyhole.,He was skinny enough to jump through a small hole.,I could see daylight through a keyhole.,He was skinny enough to jump through a massive hole.,
My mother is a tyrant.,My mother is authoritarian.,The strategy may prevent rebellion in the circumstance of some cruel tyrant.,My mother is a lenient person.,
Changing your favorite team is like breaking a blood oath.,Changing your favorite team is like breaking a promise.,Breaking a blood oath was punished.,Changing your favorite team is like breaking a disavowment.,
In my family every birthday is a national holiday.,In my family every birthday is a big event.,The prince's marriage will be marked by a national holiday.,In my family every birthday is a small event.,
Inviting my mother-in-law to stay here is a recipe for disaster.,Inviting my mother-in-law to stay here is bad idea.,Limitation on employment and property ownership were a recipe for disaster in the country.,Inviting my mother-in-law to stay here is good idea.,
I bet my life that you will laugh.,I am sure that you will laugh.,I enjoy my life.,I am iffy that you will laugh.,
The waiting has been endless.,The waiting has been too long.,The sources of inspiration are seemingly endless.,The waiting has been too short.,
I almost jumped out of my skin.,I was very surprised.,A hair just jumped out of my skin.,I was very unfazed. ,
The house is the size of a postage stamp.,The house is very small.,These cereals are the size of a postage stamp.,The house is very large.,
The mall is large enough to have its own zip code.,The mall is very large.,The fight continues to bring the neighborhood its own zip code.,The mall is very small.,
I'm going to explode.,I'm going to get upset.,Pentrite can explode without a detonator.,I'm going to get composed.,
"I'm moving, all my life's in this luggage.","I'm moving, all my stuff's in this luggage.",I've lived here all my life.,"I'm moving, none of my stuff's in this luggage.",
This drink is a rocket in a bottle.,This drink is very energizing.,The rocket was projected to a considerable height.,This drink is very deflating.,
I would commit murder to have that new phone!,I really want to have that new phone!,It is wrong to steal or to commit murder.,I really don't want to have that new phone!,
Her beauty eclipsed the sun.,Her beauty is noteworthy.,The moon eclipsed the sun.,Her beauty is unremarkable.,
This room is a mess. It looks like it was hit by a tornado!,This room is a mess. It looks very untidy!,Your home got hit by a tornado.,This room is a mess. It looks very orderly.,
You need an elevator to look at him in the eye.,You need a bench to look at him in the eye.,"My leg is broken, so I need an elevator to access upper floors.",You need a hole to look at him in the eye.,
"Cheryl is so moody, she's four seasons in a day.","Cheryl is so moody, she has different moods in a day.",Guest expectations change through the four seasons.,"Cheryl is so moody, she has the same mood all day.",
"My love, you are my oxygen.","My love, you are so important.",Commercial airplanes carry a huge tank of oxygen.,"My love, you are insignificant.",
"When my parents enrolled me in college, they basically sentenced me to death.","When my parents enrolled me in college, they basically made my life very hard.",Three judges sentenced me to death.,"When my parents enrolled me in college, they basically made my life very easy.",
"This steak is so rare, I think I heard it moo.","This steak is so rare, I think it is still raw.","There was a cow nearby, and I heard it moo.","This steak is so rare, I think it's burned.",
Our fight has been going on since the beginning of time.,Our fight has been going on for a long time.,The beginning of time corresponds to a first event.,Our fight has been going on for a short time.,
He tolerated my annoying questions. That man is a saint.,He tolerated my annoying questions. That man is patient.,A saint is not prayed to.,He tolerated my annoying questions. That man is antsy.,
They will kneel before his talent.,They will admire his talent.,He stepped down and turned to kneel before the altar.,They will disparage his talent.,
His laughter shakes the walls.,His laughter is very loud.,The wind shakes the walls of the tent.,His laughter is very quiet.,
Your room is a jungle!,Your room is messy!,"Every room is designed to convey a theme, be it a jungle or ancient Rome.",Your room is tidy!,
I am so tired I could sleep for a year.,I am so tired I could sleep for a long time.,I haven't had a job for a year now.,I am so tired I could sleep for a short time.,
Every flavor is dynamite.,Every flavor is strong.,They might enquire whether the cargo was dynamite.,Every flavor is weak.,
She is sinking in a sea of misery.,She is miserable.,Pirates where sinking in a sea of cold water.,She is elated.,
We all cracked up at the joke.,We all laughed at the joke.,The eggs have cracked up.,We all cried at the joke.,
